Product ID,Product Name,Category,Sub-Category,Order Date,Region,State,City,Segment,Quantity,Discount,Sales,Profit
PROD-0001,Smartphone,Technology,Phones,2025-05-21,Central,Haryana,Delhi,Consumer,4,0.0,5696.79,1248.59
PROD-0002,Conference Table,Furniture,Tables,2025-09-16,West,Gujarat,Delhi,Consumer,1,0.2,14096.94,1746.67
PROD-0003,Color Copier,Technology,Copiers,2025-05-23,West,Delhi,Bengaluru,Corporate,3,0.1,5500.55,374.02
PROD-0004,Keyboard,Technology,Accessories,2025-08-24,South,Rajasthan,Gurugram,Consumer,2,0.15,24331.93,1441.55
PROD-0005,Smartphone,Technology,Phones,2025-12-05,Central,Haryana,Pune,Corporate,4,0.0,19360.75,5107.94
PROD-0006,Keyboard,Technology,Accessories,2025-07-09,Central,Maharashtra,Chennai,Home Office,6,0.1,5356.25,1086.83
PROD-0007,Dining Table,Furniture,Tables,2025-07-14,South,Uttar Pradesh,Mumbai,Consumer,5,0.2,24739.66,2076.23
PROD-0008,Marker Set,Office Supplies,Art,2025-02-03,South,Karnataka,Jaipur,Corporate,4,0.2,22841.43,4917.16
PROD-0009,Laser Copier,Technology,Copiers,2025-05-16,West,Haryana,Bengaluru,Consumer,3,0.2,6278.69,927.96
PROD-0010,Desk Lamp,Furniture,Furnishings,2025-01-25,West,Delhi,Ahmedabad,Corporate,2,0.05,3948.11,930.25
PROD-0011,Office Copier,Technology,Copiers,2025-05-09,South,Rajasthan,Noida,Corporate,1,0.0,17055.04,3759.4
PROD-0012,File Binder,Office Supplies,Binders,2025-01-02,Central,Gujarat,Chennai,Home Office,5,0.05,24301.42,4084.45
PROD-0013,Dining Table,Furniture,Tables,2025-03-24,South,Gujarat,Mumbai,Consumer,1,0.15,15033.77,701.16
PROD-0014,Office Chair,Furniture,Chairs,2025-09-06,East,Tamil Nadu,Chennai,Consumer,2,0.2,24452.91,4723.49
PROD-0015,Shipping Labels,Office Supplies,Labels,2025-08-05,West,Rajasthan,Jaipur,Home Office,4,0.05,23233.5,5037.61
PROD-0016,Copy Paper,Office Supplies,Paper,2025-04-26,East,Uttar Pradesh,Noida,Home Office,2,0.2,8551.43,1289.42
PROD-0017,Smartphone,Technology,Phones,2025-02-04,South,Tamil Nadu,Mumbai,Home Office,1,0.0,21511.94,3840.72
PROD-0018,Desk Lamp,Furniture,Furnishings,2025-08-31,South,Haryana,Ahmedabad,Corporate,7,0.0,4881.69,1048.32
PROD-0019,Business Phone,Technology,Phones,2025-12-01,Central,Karnataka,Mumbai,Consumer,2,0.1,1656.22,372.87
PROD-0020,Laser Copier,Technology,Copiers,2025-08-05,Central,Tamil Nadu,Chennai,Consumer,3,0.05,7071.85,1804.67
PROD-0021,Office Chair,Furniture,Chairs,2025-05-02,West,Uttar Pradesh,Ghaziabad,Corporate,3,0.15,10249.39,901.14
PROD-0022,Wall Clock,Furniture,Furnishings,2025-08-21,West,Maharashtra,Mumbai,Corporate,5,0.2,10661.74,1837.81
PROD-0023,Ergonomic Chair,Furniture,Chairs,2025-10-05,West,Maharashtra,Delhi,Home Office,1,0.0,18737.19,1171.74
PROD-0024,Conference Table,Furniture,Tables,2025-11-01,East,Uttar Pradesh,Gurugram,Consumer,2,0.05,16929.03,2427.57
PROD-0025,Shipping Labels,Office Supplies,Labels,2025-09-25,South,Karnataka,Pune,Corporate,6,0.05,23377.45,4828.84
PROD-0026,Office Bookcase,Furniture,Bookcases,2025-06-11,Central,Delhi,Chennai,Consumer,2,0.2,381.49,91.44
PROD-0027,Keyboard,Technology,Accessories,2025-06-28,West,Gujarat,Gurugram,Home Office,2,0.1,21999.87,2400.67
PROD-0028,Business Phone,Technology,Phones,2025-10-11,East,Gujarat,Noida,Consumer,5,0.0,23304.14,6635.45
PROD-0029,Printer,Technology,Machines,2025-05-20,South,Tamil Nadu,Pune,Consumer,5,0.1,15180.02,1378.49
PROD-0030,Wall Clock,Furniture,Furnishings,2025-01-23,South,Maharashtra,Jaipur,Home Office,1,0.05,8438.88,1677.77
PROD-0031,Office Copier,Technology,Copiers,2025-01-05,South,Maharashtra,Ahmedabad,Consumer,2,0.05,2019.81,357.66
PROD-0032,Office Bookcase,Furniture,Bookcases,2025-01-21,South,Haryana,Gurugram,Home Office,6,0.05,5370.4,1105.75
PROD-0033,Conference Table,Furniture,Tables,2025-04-01,West,Karnataka,Pune,Consumer,7,0.1,765.94,169.3
PROD-0034,Cordless Phone,Technology,Phones,2025-01-20,East,Karnataka,Delhi,Home Office,8,0.15,5677.48,663.14
PROD-0035,Wall Clock,Furniture,Furnishings,2025-05-23,West,Rajasthan,Delhi,Consumer,2,0.1,24177.19,2998.16
PROD-0036,Document Folder,Office Supplies,Binders,2025-05-16,South,Haryana,Gurugram,Home Office,1,0.15,2843.8,329.76
PROD-0037,Cushion,Furniture,Furnishings,2025-04-08,East,Rajasthan,Ahmedabad,Consumer,5,0.15,1253.01,53.7
PROD-0038,USB Hub,Technology,Accessories,2025-06-10,West,Rajasthan,Ahmedabad,Home Office,2,0.1,18035.89,2869.56
PROD-0039,Address Labels,Office Supplies,Labels,2025-04-09,East,Gujarat,Ahmedabad,Home Office,7,0.15,16673.5,3108.44
PROD-0040,Office Bookcase,Furniture,Bookcases,2025-04-18,West,Tamil Nadu,Jaipur,Home Office,7,0.2,19676.11,3363.46
PROD-0041,Cushion,Furniture,Furnishings,2025-03-28,East,Gujarat,Mumbai,Consumer,2,0.2,7202.09,770.89
PROD-0042,Office Chair,Furniture,Chairs,2025-05-06,East,Haryana,Jaipur,Corporate,8,0.0,15340.16,2513.55
PROD-0043,Computer Table,Furniture,Tables,2025-12-19,East,Maharashtra,Chennai,Corporate,1,0.0,22332.6,5462.67
PROD-0044,Conference Table,Furniture,Tables,2025-08-22,South,Tamil Nadu,Gurugram,Home Office,3,0.2,20065.2,4767.06
PROD-0045,Office Copier,Technology,Copiers,2025-08-17,East,Gujarat,Chennai,Corporate,3,0.15,18629.84,2573.52
PROD-0046,Laptop,Technology,Computers,2025-08-14,South,Delhi,Ghaziabad,Consumer,2,0.05,17881.59,2003.32
PROD-0047,Cushion,Furniture,Furnishings,2025-03-20,West,Haryana,Delhi,Consumer,4,0.15,1746.09,196.98
PROD-0048,Drawing Paper,Office Supplies,Art,2025-12-23,Central,Rajasthan,Pune,Corporate,1,0.2,21439.79,2488.65
PROD-0049,Shipping Labels,Office Supplies,Labels,2025-10-07,Central,Haryana,Bengaluru,Home Office,4,0.1,12282.5,1757.17
PROD-0050,Office Copier,Technology,Copiers,2025-03-26,West,Uttar Pradesh,Noida,Home Office,8,0.2,23000.61,3377.06
PROD-0051,File Binder,Office Supplies,Binders,2025-04-04,South,Rajasthan,Ahmedabad,Corporate,1,0.1,6614.88,612.69
PROD-0052,Storage Box,Office Supplies,Storage,2025-08-29,South,Karnataka,Noida,Home Office,1,0.0,18763.25,5628.54
PROD-0053,Office Chair,Furniture,Chairs,2025-04-13,Central,Karnataka,Jaipur,Home Office,1,0.05,15590.19,1207.89
PROD-0054,Storage Box,Office Supplies,Storage,2025-11-07,Central,Uttar Pradesh,Pune,Home Office,2,0.05,19478.13,5388.06
PROD-0055,Color Copier,Technology,Copiers,2025-04-12,South,Delhi,Gurugram,Consumer,2,0.05,14863.63,1065.75
